location,sampler,cv,n,n_pos,n_neg,pos_rate,pr_auc,pr_auc_baseline,pr_auc_lift,roc_auc,precision_U,recall_U,f1_U,precision_H,recall_H,f1_macro,MCC,bal_acc,accuracy,tn,fp,fn,tp,thr_best_f1,f1_U_best,recall_U_best,n_train_fit,n_synthetic,params,gsmote_k_neighbors,gsmote_truncation_factor,gsmote_deformation_factor,gsmote_selection_strategy
AHCensus_Basemap,gsmote,spatial,2511,160,2351,0.06371963361210672,0.06735381645356366,0.06371963361210672,0.0036341828414569316,0.527520204168439,0.06835722160970231,0.3875,0.1162136832239925,0.9389027431421446,0.6405784772437261,0.4388906595639558,0.01427756124395858,0.5140392386218631,0.624452409398646,1506,845,98,62,0.37,0.13014119091467158,0.6625,3761,1752,"{""deformation_factor"": 0.0, ""k_neighbors"": 3, ""selection_strategy"": ""minority"", ""truncation_factor"": -1.0}",3,-1.0,0.0,minority
AHCensus_Basemap,gsmote,spatial,2511,160,2351,0.06371963361210672,0.06534561829263646,0.06371963361210672,0.0016259846805297407,0.5041564759676733,0.054245283018867926,0.14375,0.07876712328767123,0.934355534259703,0.829434283283709,0.4787706729552371,-0.017483628189111165,0.4865921416418545,0.7857427319792911,1950,401,137,23,0.16,0.12658227848101267,0.6875,3761,1752,"{""deformation_factor"": 0.0, ""k_neighbors"": 3, ""selection_strategy"": ""majority"", ""truncation_factor"": -1.0}",3,-1.0,0.0,majority
AHCensus_Basemap,gsmote,spatial,2511,160,2351,0.06371963361210672,0.06339042307020071,0.06371963361210672,-0.0003292105419060165,0.49536234581029354,0.05333333333333334,0.15,0.07868852459016394,0.9340126152353226,0.8188005104210974,0.4756543257583639,-0.019869573366409123,0.4844002552105487,0.7761847869374751,1925,426,136,24,0.08,0.12126779972439136,0.825,3761,1752,"{""deformation_factor"": 0.0, ""k_neighbors"": 3, ""selection_strategy"": ""combined"", ""truncation_factor"": -1.0}",3,-1.0,0.0,combined
AHCensus_Basemap,gsmote,spatial,2511,160,2351,0.06371963361210672,0.0636486637484962,0.06371963361210672,-7.096986361052049e-05,0.5040009570395577,0.059790732436472344,0.25,0.09650180940892641,0.9348534201954397,0.7324542747766908,0.45893537882800245,-0.009693927287660789,0.4912271373883454,0.7017124651533254,1722,629,120,40,0.25,0.12278761061946902,0.69375,3761,1752,"{""deformation_factor"": 0.5, ""k_neighbors"": 3, ""selection_strategy"": ""minority"", ""truncation_factor"": -1.0}",3,-1.0,0.5,minority
AHCensus_Basemap,gsmote,spatial,2511,160,2351,0.06371963361210672,0.061734878182939885,0.06371963361210672,-0.0019847554291668387,0.49360112717992344,0.04838709677419355,0.075,0.058823529411764705,0.9346000883782589,0.899617184176946,0.4877992809607588,-0.020780595417528757,0.487308592088473,0.8470728793309439,2115,236,148,12,0.05,0.12659380692167577,0.86875,3761,1752,"{""deformation_factor"": 0.5, ""k_neighbors"": 3, ""selection_strategy"": ""majority"", ""truncation_factor"": -1.0}",3,-1.0,0.5,majority
AHCensus_Basemap,gsmote,spatial,2511,160,2351,0.06371963361210672,0.058822353473928515,0.06371963361210672,-0.004897280138178209,0.4808897809442791,0.0392156862745098,0.0625,0.04819277108433735,0.9335106382978723,0.8957890259464057,0.48122683919964643,-0.03372849786319454,0.4791445129732029,0.8426921545201115,2106,245,150,10,0.05,0.12265446224256293,0.8375,3761,1752,"{""deformation_factor"": 0.5, ""k_neighbors"": 3, ""selection_strategy"": ""combined"", ""truncation_factor"": -1.0}",3,-1.0,0.5,combined
AHCensus_Basemap,gsmote,spatial,2511,160,2351,0.06371963361210672,0.06616782895022219,0.06371963361210672,0.0024481953381154664,0.4988302849851127,0.0728862973760933,0.15625,0.09940357852882704,0.9377306273062731,0.8647384091875797,0.4995800809218599,0.014927570450251452,0.5104942045937899,0.8195937873357229,2033,318,135,25,0.07,0.12205754141238012,0.875,3761,1752,"{""deformation_factor"": 1.0, ""k_neighbors"": 3, ""selection_strategy"": ""minority"", ""truncation_factor"": -1.0}",3,-1.0,1.0,minority
AHCensus_Basemap,gsmote,spatial,2511,160,2351,0.06371963361210672,0.060114741553930526,0.06371963361210672,-0.0036048920581761984,0.481396214376861,0.019230769230769232,0.0125,0.015151515151515152,0.9343581221437474,0.9566142067205444,0.4802533532041729,-0.03786084926249061,0.4845571033602722,0.8964555953803266,2249,102,158,2,0.09,0.11986970684039087,0.575,3761,1752,"{""deformation_factor"": 1.0, ""k_neighbors"": 3, ""selection_strategy"": ""majority"", ""truncation_factor"": -1.0}",3,-1.0,1.0,majority
AHCensus_Basemap,gsmote,spatial,2511,160,2351,0.06371963361210672,0.059015154422896274,0.06371963361210672,-0.00470447918921045,0.48443614419395997,0.0392156862745098,0.025,0.030534351145038167,0.9352428393524284,0.9583156103785623,0.48858650330361153,-0.020643253376009533,0.49165780518928115,0.8988450816407806,2253,98,156,4,0.05,0.11740473738414006,0.7125,3761,1752,"{""deformation_factor"": 1.0, ""k_neighbors"": 3, ""selection_strategy"": ""combined"", ""truncation_factor"": -1.0}",3,-1.0,1.0,combined
AHCensus_Basemap,gsmote,spatial,2511,160,2351,0.06371963361210672,0.0684416469262629,0.06371963361210672,0.00472201331415617,0.5238023713313484,0.06969376979936642,0.4125,0.11924119241192412,0.9398976982097187,0.6252658443215653,0.4350995234090272,0.019032337944834346,0.5188829221607827,0.6117084826762246,1470,881,94,66,0.31,0.12625994694960213,0.74375,3761,1752,"{""deformation_factor"": 0.0, ""k_neighbors"": 3, ""selection_strategy"": ""minority"", ""truncation_factor"": 0.0}",3,0.0,0.0,minority
